カテゴリ,物件名,所在地,アクセス1,アクセス2,アクセス3,築年数,建物の階数,部屋の階数,賃料,管理費,敷金,礼金,間取り,面積,URL
賃貸一戸建て,奥山方,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩10分,ＪＲ常磐線/三河島駅 歩9分,築41年,2階建,1階,15万円,-,15万円,15万円,4K,73.75m2,https://suumo.jp/chintai/jnc_000086740977/?bc=100355480324
賃貸マンション,ＪＲ中央線 東中野駅 3階建 築33年,東京都新宿区北新宿３,ＪＲ中央線/東中野駅 歩7分,東京メトロ丸ノ内線/中野坂上駅 歩13分,東京メトロ東西線/落合駅 歩15分,築33年,3階建,1階,19万円,10000円,-,19万円,4SK,80m2,https://suumo.jp/chintai/jnc_000086029265/?bc=100350767737
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,4階,12.7万円,10000円,-,-,2K,23.7m2,https://suumo.jp/chintai/jnc_000086724239/?bc=100355492530
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,1階,13万円,10000円,-,-,2K,24.08m2,https://suumo.jp/chintai/jnc_000086724226/?bc=100355659185
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,2階,13.1万円,10000円,-,-,2K,24.08m2,https://suumo.jp/chintai/jnc_000086724228/?bc=100355659193
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,3階,13.2万円,10000円,-,-,2K,24.08m2,https://suumo.jp/chintai/jnc_000086724231/?bc=100355659197
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,1階,14.3万円,10000円,-,-,2K,27.5m2,https://suumo.jp/chintai/jnc_000086724227/?bc=100355645130
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,2階,14.4万円,10000円,-,-,2K,27.5m2,https://suumo.jp/chintai/jnc_000086724229/?bc=100355659322
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,3階,14.5万円,10000円,-,-,2K,27.5m2,https://suumo.jp/chintai/jnc_000086724234/?bc=100355659168
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,3階,16万円,10000円,-,-,2K,30.24m2,https://suumo.jp/chintai/jnc_000086724230/?bc=100355659333
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,3階,16.2万円,10000円,-,-,2K,31.3m2,https://suumo.jp/chintai/jnc_000086724233/?bc=100355659340
賃貸マンション,kinomori代々木上原,東京都渋谷区上原２,東京メトロ千代田線/代々木公園駅 歩9分,小田急線/代々木八幡駅 歩8分,小田急線/代々木上原駅 歩7分,築1年,4階建,4階,19万円,10000円,-,-,3K,35.5m2,https://suumo.jp/chintai/jnc_000086724238/?bc=100355659171
